,Alley,Lot Shape,Land Contour,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,MS SubClass,MS Zoning,Street,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Mo Sold,Sale Type,Year Built,Year Remod/Add,Garage Yr Blt,Yr Sold,Lot Frontage,Lot Area,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,SalePrice
1193,missing,Reg,Lvl,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,BrkTil,TA,TA,No,50,RM,Pave,BLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,6,WD ,1948,2009,1948.0,2010,69.0,11851,0.0,780.0,0.0,247.0,1027.0,1027,606,0,1633,240.0,0,100,126,0,0,0,0,129000
1194,missing,IR1,Lvl,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,CBlock,Gd,Gd,No,20,RL,Pave,GLQ,LwQ,GasA,Gd,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1987,1987,1987.0,2006,54.0,13811,72.0,980.0,40.0,92.0,1112.0,1137,0,0,1137,551.0,125,0,0,0,0,0,0,176000
1195,missing,Reg,Lvl,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,Rec,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,1,3,1,TA,6,Typ,0,missing,Attchd,Unf,1.0,TA,TA,Y,missing,GdWo,missing,6,WD ,1963,1963,1963.0,2009,83.0,10143,295.0,384.0,0.0,996.0,1380.0,1380,0,0,1380,364.0,0,0,0,0,216,0,0,154000
1196,missing,Reg,Lvl,5,Gable,CompShg,Plywood,HdBoard,BrkFace,Gd,Gd,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,CBlock,Gd,Gd,Av,20,RL,Pave,GLQ,Rec,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Fa,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,3,WD ,1986,1986,1986.0,2008,93.0,18265,228.0,920.0,60.0,276.0,1256.0,1256,0,0,1256,578.0,282,0,0,0,0,0,0,180000
1197,missing,Reg,Lvl,5,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,PConc,Gd,TA,No,120,RM,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,1,3,1,TA,6,Typ,1,Po,Attchd,Fin,2.0,TA,TA,Y,missing,MnPrv,missing,8,WD ,1976,1976,1976.0,2007,44.0,4224,0.0,874.0,0.0,268.0,1142.0,1142,0,0,1142,528.0,536,90,0,0,0,0,0,134000
1198,missing,Reg,Lvl,7,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,CBlock,TA,Gd,Av,20,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,2,0,4,1,Gd,7,Typ,1,Gd,Attchd,Unf,2.0,TA,TA,Y,missing,MnPrv,missing,6,WD ,1950,2001,1950.0,2007,84.0,12615,0.0,477.0,0.0,725.0,1202.0,2158,0,0,2158,576.0,0,29,39,0,0,0,0,243000
1199,missing,Reg,Lvl,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,PConc,Gd,TA,Av,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,9,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,11,WD ,2002,2003,2002.0,2007,85.0,14536,236.0,1300.0,0.0,316.0,1616.0,1629,0,0,1629,808.0,0,252,0,0,0,0,0,270000
1200,missing,Reg,Bnk,5,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,PConc,TA,TA,No,20,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,1,3,1,TA,5,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1983,1983,1983.0,2007,71.0,9187,0.0,336.0,0.0,748.0,1084.0,1080,0,0,1080,484.0,120,0,158,0,0,0,0,134000
1201,missing,Reg,Low,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,Gd,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3.0,TA,TA,Y,missing,missing,missing,4,WD ,1993,1993,1993.0,2009,90.0,9900,256.0,987.0,0.0,360.0,1347.0,1372,1274,0,2646,656.0,340,60,144,0,0,0,0,260000
1202,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,5,WD ,2006,2006,2006.0,2007,64.0,8333,0.0,0.0,0.0,738.0,738.0,738,753,0,1491,484.0,100,30,0,0,0,0,0,168675
1203,missing,IR1,Lvl,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,6,PConc,Gd,TA,No,80,RL,Pave,LwQ,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,TA,TA,Y,missing,MnPrv,missing,3,WD ,1994,1994,1994.0,2007,0.0,10147,32.0,186.0,0.0,206.0,392.0,924,770,0,1694,398.0,256,64,0,0,0,0,0,160000
1204,Grvl,Reg,Lvl,9,Gable,CompShg,Wd Sdng,HdBoard,None,TA,TA,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,BrkTil,Fa,TA,No,50,RM,Pave,Unf,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,1,0,3,1,Gd,5,Typ,0,missing,missing,missing,0.0,missing,missing,N,missing,missing,missing,9,WD ,1890,1996,missing,2008,44.0,5914,0.0,0.0,0.0,684.0,684.0,684,396,0,1080,0.0,0,165,30,0,0,0,0,95000
1205,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,PConc,Gd,TA,Av,60,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,7,WD ,2005,2006,2005.0,2009,79.0,11646,0.0,0.0,0.0,704.0,704.0,704,718,0,1422,440.0,36,28,0,0,0,0,0,173000
1206,Pave,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,PConc,Gd,Gd,No,20,FV,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,8,New,2006,2006,2006.0,2006,60.0,7200,0.0,0.0,0.0,1293.0,1293.0,1301,0,0,1301,572.0,216,121,0,0,0,0,0,187750
1207,missing,IR1,Lvl,6,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,CBlock,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,missing,MnPrv,missing,11,WD ,1986,1991,1986.0,2008,46.0,20544,123.0,0.0,0.0,791.0,791.0,1236,857,0,2093,542.0,364,63,0,0,0,0,0,215000
1208,missing,IR1,Lvl,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,Mn,20,RL,Pave,BLQ,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Attchd,RFn,1.0,TA,TA,Y,missing,MnPrv,missing,3,WD ,1967,1967,1967.0,2008,0.0,9981,340.0,221.0,0.0,852.0,1073.0,1073,0,0,1073,270.0,0,90,0,0,0,0,0,120000
1209,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,PConc,Gd,Gd,Av,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,4,WD ,2005,2006,2005.0,2007,70.0,8251,143.0,778.0,0.0,716.0,1494.0,1506,0,0,1506,672.0,192,35,0,0,0,0,0,249000
1210,missing,Reg,Lvl,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,7,CBlock,TA,TA,No,20,RL,Pave,BLQ,LwQ,GasA,Gd,Y,SBrkr,1.0,0.0,2,0,3,1,TA,7,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,4,WD ,1967,1967,1967.0,2006,78.0,10140,264.0,553.0,68.0,713.0,1334.0,1334,0,0,1334,477.0,0,20,35,0,264,0,0,164500
1211,missing,IR1,Lvl,5,Gable,CompShg,BrkFace,Wd Sdng,None,Gd,TA,AllPub,Inside,Gtl,GrnHill,Norm,Norm,TwnhsE,1Story,7,CBlock,missing,missing,missing,120,RM,Pave,missing,missing,GasA,Gd,Y,SBrkr,0.0,0.0,2,0,2,1,Gd,5,Typ,0,missing,Attchd,RFn,1.0,TA,TA,Y,missing,missing,missing,11,WD ,1986,1986,1986.0,2006,0.0,8239,0.0,0.0,0.0,0.0,0.0,1295,0,0,1295,312.0,0,0,0,0,0,0,0,230000
1212,missing,IR1,Lvl,6,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,AllPub,Corner,Gtl,OldTown,Feedr,Norm,1Fam,2Story,7,BrkTil,TA,TA,No,70,RM,Pave,Rec,Unf,GasA,Gd,N,FuseA,1.0,0.0,1,1,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,2.0,TA,TA,Y,missing,GdPrv,missing,9,WD ,1929,1990,1979.0,2007,0.0,5700,0.0,336.0,0.0,336.0,672.0,672,672,0,1344,456.0,0,0,70,0,0,0,0,140000
1213,missing,Reg,Lvl,7,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,CBlock,TA,Gd,No,20,RL,Pave,ALQ,BLQ,GasA,TA,Y,SBrkr,1.0,0.0,1,0,2,1,TA,4,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,9,WD ,1952,1952,1952.0,2009,60.0,7200,0.0,630.0,102.0,0.0,732.0,732,0,0,732,240.0,0,68,0,0,0,0,0,118900
1214,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,PConc,Gd,TA,Av,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,missing,missing,missing,6,WD ,2008,2008,2008.0,2009,71.0,9178,0.0,0.0,0.0,1468.0,1468.0,1468,0,0,1468,904.0,192,142,0,0,0,0,0,239900
1215,missing,Reg,Lvl,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,CBlock,Gd,TA,No,120,RL,Pave,ALQ,BLQ,GasA,Gd,Y,SBrkr,0.0,1.0,2,0,2,1,TA,4,Typ,1,Po,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1975,1975,1975.0,2006,53.0,4043,0.0,727.0,156.0,186.0,1069.0,1069,0,0,1069,440.0,0,55,0,0,225,0,0,146300
1216,missing,Reg,Lvl,6,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,PConc,Gd,TA,No,120,RM,Pave,GLQ,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1975,1975,1975.0,2008,0.0,4224,0.0,769.0,0.0,271.0,1040.0,1040,0,0,1040,499.0,0,100,0,0,0,0,0,124000
1217,missing,Reg,Lvl,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,AllPub,Inside,Gtl,Sawyer,Norm,Norm,2fmCon,SFoyer,5,CBlock,Gd,TA,Av,190,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,MnPrv,missing,3,WD ,1963,1963,1963.0,2007,75.0,11235,0.0,925.0,0.0,0.0,925.0,999,0,0,999,308.0,40,176,0,0,0,0,0,130000
1218,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,No,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,TA,6,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,GdPrv,missing,12,WD ,2000,2001,2000.0,2007,65.0,8450,108.0,0.0,0.0,1349.0,1349.0,1349,0,0,1349,539.0,120,55,0,0,0,0,0,179000
1219,missing,Reg,Lvl,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,No,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,TA,5,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,5,WD ,1990,1990,1990.0,2009,99.0,11851,0.0,0.0,0.0,1424.0,1424.0,1442,0,0,1442,500.0,0,34,0,508,0,0,0,180500
1220,missing,Reg,Lvl,6,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,CBlock,TA,TA,No,30,RM,Pave,Unf,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,0,2,1,TA,4,Typ,0,missing,Attchd,Unf,1.0,TA,TA,Y,missing,missing,missing,6,WD ,1945,1950,1945.0,2010,47.0,4608,0.0,0.0,0.0,747.0,747.0,747,0,0,747,220.0,0,0,0,0,0,0,0,80000
1221,missing,Reg,Lvl,5,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,PConc,Gd,TA,No,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,5,New,2008,2009,2008.0,2009,78.0,9262,194.0,0.0,0.0,1573.0,1573.0,1578,0,0,1578,840.0,0,36,0,0,0,0,0,287090
1222,missing,Reg,Lvl,5,Gable,CompShg,BrkFace,BrkFace,None,TA,TA,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,PConc,missing,missing,missing,20,RM,Pave,missing,missing,GasA,Gd,Y,FuseA,0.0,0.0,1,0,2,1,TA,4,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,12,WD ,1956,1956,1956.0,2008,70.0,12702,0.0,0.0,0.0,0.0,0.0,882,0,0,882,308.0,0,45,0,0,0,0,0,97000
1223,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,PConc,Gd,TA,Av,120,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,5,WD ,2002,2002,2002.0,2006,0.0,2938,40.0,1038.0,0.0,330.0,1368.0,1511,0,0,1511,398.0,130,30,0,0,0,0,0,246990
1224,missing,Reg,Lvl,6,Gable,CompShg,HdBoard,HdBoard,BrkCmn,TA,TA,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,CBlock,TA,TA,Av,20,RL,Grvl,BLQ,Unf,GasA,Fa,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,TA,TA,P,missing,MnPrv,missing,3,WD ,1964,1964,1964.0,2007,160.0,18160,138.0,550.0,0.0,752.0,1302.0,1128,0,0,1128,480.0,0,108,246,0,0,0,0,154204
1225,missing,IR1,Lvl,7,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,CBlock,TA,TA,No,20,RL,Pave,BLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,missing,MnPrv,Othr,4,WD ,1958,2001,1958.0,2008,76.0,11355,125.0,637.0,0.0,675.0,1312.0,1312,0,0,1312,495.0,0,304,144,0,0,0,6500,186000
1226,missing,Reg,Lvl,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,CBlock,TA,TA,No,160,RM,Pave,Rec,Unf,GasA,TA,Y,SBrkr,0.0,0.0,2,1,3,1,TA,6,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,12,WD ,1972,1972,1972.0,2008,21.0,1680,356.0,350.0,0.0,280.0,630.0,630,672,0,1302,264.0,0,0,0,0,0,0,0,111750
1227,missing,Reg,HLS,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,PConc,Ex,TA,Gd,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,6,WD ,2003,2004,2003.0,2010,110.0,14300,1095.0,1373.0,0.0,1473.0,2846.0,2696,0,0,2696,958.0,220,150,0,0,0,0,0,500000
1228,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,Fin,2.0,TA,TA,Y,missing,missing,missing,3,New,2007,2007,2007.0,2008,65.0,10616,0.0,0.0,0.0,628.0,628.0,628,728,0,1356,484.0,100,24,0,0,0,0,0,177439
1229,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,TA,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,PConc,Ex,TA,Av,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,7,WD ,2008,2008,2008.0,2009,96.0,11308,154.0,936.0,0.0,168.0,1104.0,1130,1054,0,2184,836.0,0,102,0,0,0,0,0,335000
1230,missing,Reg,Lvl,6,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,CBlock,TA,TA,No,60,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,2,1,4,1,TA,8,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,9,WD ,1976,1976,1976.0,2008,80.0,10480,660.0,403.0,0.0,400.0,803.0,1098,866,0,1964,483.0,0,69,0,0,0,0,0,205000
1231,missing,IR1,HLS,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,PConc,Gd,TA,Gd,120,RL,Pave,GLQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,8,WD ,1990,1990,1990.0,2007,35.0,5118,0.0,926.0,0.0,386.0,1312.0,1321,0,0,1321,484.0,0,64,140,0,0,0,0,212000
1232,missing,IR1,HLS,5,Hip,CompShg,CemntBd,CmentBd,Stone,Gd,TA,AllPub,Corner,Mod,Crawfor,Artery,Norm,TwnhsE,1Story,8,PConc,Ex,TA,Gd,120,RM,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,1.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,5,WD ,2004,2005,2004.0,2010,44.0,3811,186.0,1373.0,0.0,221.0,1594.0,1646,0,0,1646,525.0,128,53,0,0,155,0,0,246000
1233,missing,IR1,Lvl,7,Gable,CompShg,WdShing,Plywood,BrkFace,Gd,TA,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,CBlock,Gd,TA,Mn,20,RL,Pave,GLQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,2,0,3,1,TA,6,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1983,1983,1983.0,2008,0.0,10825,174.0,747.0,0.0,513.0,1260.0,1260,0,0,1260,598.0,152,0,0,0,0,0,0,181900
1234,missing,Reg,Lvl,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,BrkTil,TA,TA,No,50,RM,Pave,LwQ,ALQ,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,4,WD ,1929,2001,1974.0,2010,50.0,5500,0.0,234.0,692.0,0.0,926.0,926,0,390,1316,484.0,0,0,0,0,0,0,0,130000
1235,Grvl,Reg,Lvl,7,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,Gd,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,BrkTil,Fa,Fa,No,70,RM,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,2,1,TA,7,Typ,0,missing,Detchd,Unf,2.0,TA,Gd,Y,missing,GdPrv,missing,5,WD ,1910,2002,1910.0,2007,60.0,9600,0.0,0.0,0.0,264.0,264.0,768,664,0,1432,360.0,270,0,112,0,0,0,0,132000
1236,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,PConc,Gd,Gd,No,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,7,CWD,1994,2001,1994.0,2007,75.0,9317,0.0,497.0,0.0,282.0,779.0,1029,929,0,1958,499.0,202,93,0,0,0,0,0,220000
1237,missing,Reg,Lvl,5,Hip,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,PConc,Gd,TA,Av,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Ex,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,6,WD ,2001,2001,2001.0,2009,0.0,11838,0.0,0.0,0.0,1753.0,1753.0,1788,0,0,1788,522.0,202,151,0,0,0,0,0,236500
1238,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,PConc,Gd,TA,No,60,FV,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,TA,8,Typ,0,missing,BuiltIn,Fin,2.0,TA,TA,Y,missing,missing,missing,12,New,2009,2009,2009.0,2009,75.0,8004,110.0,544.0,0.0,288.0,832.0,832,1103,0,1935,552.0,0,150,0,0,0,0,0,263435
1239,missing,Reg,Bnk,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,BrkTil,TA,TA,No,50,RM,Pave,Unf,Unf,GasA,TA,Y,SBrkr,0.0,0.0,2,0,4,1,TA,9,Min1,1,Gd,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,11,COD,1938,1958,1938.0,2008,60.0,6876,0.0,0.0,0.0,1272.0,1272.0,1272,0,697,1969,400.0,0,34,0,0,0,0,0,141000
1240,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,2.0,TA,TA,Y,missing,missing,missing,5,WD ,2003,2003,2003.0,2008,0.0,8396,196.0,0.0,0.0,847.0,847.0,847,1139,0,1986,434.0,120,48,0,0,0,0,0,213000
